Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\ethGitlab\sensei-wulpus-shield\hw\wulpus_pro_acq_pcb_dev_board\Project Outputs for wulpus_pro_acq_pcb\Pick Place\Pick Place for wulpus_pro_acq(pzt_hia_no_bias).txt

========================================================================================================================
File Design Information:

Date:       27.05.26
Time:       13:31
Revision:   dac888c8aeea61f824c052da7adf19988fcd2d27
Variant:    pzt_hia_no_bias
Units used: mm

Designator Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                 
D2         APHD1608LZGCK             TopLayer    FP-APHD1608LZGCK-MFG            -29.9750     -8.4750      90       "LED GREEN CLEAR 1608 SMD"                                                                                                                                  
D1         BAV99T-7-F                BottomLayer FP-SOT523-MFG                   0.6000       7.7000       0        "DIODE ARRAY GP 85V 75MA SOT523"                                                                                                                            
C71        C0402C104K4RACTU          BottomLayer CAPC1005X55X30LL05T10           -25.6250     -4.9250      180      C0402C104K4RACTU                                                                                                                                            
C70        C0402C104K4RACTU          TopLayer    CAPC1005X55X30LL05T10           -15.8000     -5.7250      270      C0402C104K4RACTU                                                                                                                                            
C69        C0402C104K4RACTU          BottomLayer CAPC1005X55X30LL05T10           -27.3750     -9.3250      180      C0402C104K4RACTU                                                                                                                                            
C68        C0402C104K4RACTU          BottomLayer CAPC1005X55X30LL05T10           -16.4500     -3.5250      90       C0402C104K4RACTU                                                                                                                                            
C67        GRM155Z71A105KE01D        BottomLayer FP-GRM155-0_1-IPC_C             -21.2000     9.1000       90       GRM155Z71A105KE01D                                                                                                                                          
C66        GRM155Z71A105KE01D        BottomLayer FP-GRM155-0_1-IPC_C             -22.6250     9.1000       90       GRM155Z71A105KE01D                                                                                                                                          
C65        GRM155Z71A105KE01D        BottomLayer FP-GRM155-0_1-IPC_C             -30.0000     9.0500       90       GRM155Z71A105KE01D                                                                                                                                          
C63        GRM188R61H225ME11D        BottomLayer FP-GRM188-0_2-IPC_B             -1.3250      -1.5000      90       GRM188R61H225ME11D                                                                                                                                          
C62        GRM155C71H104KE19D        BottomLayer FP-GRM155-0_05-MFG              -10.3000     -2.3729      180      GRM155C71H104KE19D                                                                                                                                          
C61        GRM188R61H225ME11D        TopLayer    FP-GRM188-0_2-IPC_B             -13.3250     -7.7000      180      GRM188R61H225ME11D                                                                                                                                          
C60        GRM188R61H225ME11D        TopLayer    FP-GRM188-0_2-IPC_B             -16.5000     -8.4500      90       GRM188R61H225ME11D                                                                                                                                          
C59        GCM21BR71H105KA03L        BottomLayer FP-GCM21B-0_15-IPC_C            -16.5000     -7.3500      270      GCM21BR71H105KA03L                                                                                                                                          
